,pf_close,gd_close
0,11.769,3.588
1,11.922,3.605
2,12.015,3.649
3,11.623,3.499
4,11.61,3.561
5,11.318,3.411
6,11.584,3.429
7,11.544,3.384
8,11.896,3.384
9,11.67,3.27
10,11.736,3.243
11,11.796,3.305
12,11.451,3.261
13,11.006,3.252
14,11.298,3.278
15,11.305,3.278
16,11.059,3.11
17,11.072,3.119
18,11.006,3.057
19,11.219,3.155
20,10.953,3.075
21,11.126,3.102
22,11.026,3.084
23,11.484,3.11
24,12.201,3.093
25,12.247,3.057
26,11.265,3.137
27,11.192,3.146
28,11.298,3.155
29,11.969,3.137
30,11.75,3.199
31,11.842,3.137
32,11.989,3.146
33,12.048,2.987
34,12.035,3.031
35,11.763,3.004
36,11.776,3.022
37,11.584,3.102
38,11.584,3.137
39,11.862,3.296
40,11.902,3.27
41,12.068,3.287
42,12.062,3.296
43,11.922,3.217
44,11.743,3.252
45,11.683,3.252
46,11.73,3.252
47,11.696,3.314
48,11.776,3.305
49,11.816,3.305
50,11.876,3.314
51,11.823,3.323
52,11.882,3.305
53,11.922,3.252
54,12.028,3.27
55,12.108,3.252
56,11.869,3.243
57,11.896,3.314
58,11.856,3.314
59,11.882,3.34
60,11.836,3.349
61,12.028,3.331
62,12.002,3.296
63,11.989,3.287
64,11.769,3.314
65,11.623,3.305
66,11.604,3.34
67,11.584,3.349
68,11.557,3.34
69,11.444,3.296
70,11.477,3.287
71,11.451,3.261
72,11.657,3.243
73,11.517,3.243
74,11.584,3.225
75,11.65,3.225
76,11.65,3.225
77,11.73,3.252
78,11.75,3.225
79,11.776,3.261
80,11.916,3.252
81,12.141,3.261
82,12.075,3.208
83,11.962,3.146
84,11.955,3.137
85,11.962,3.155
86,11.962,3.137
87,11.942,3.128
88,11.803,3.137
89,11.809,3.11
90,11.776,3.11
91,11.816,3.102
92,11.796,3.119
93,11.849,3.128
94,11.803,3.119
95,11.876,3.137
96,11.815,3.137
97,11.485,3.137
98,11.507,3.181
99,11.485,3.278
100,11.65,3.27
101,11.702,3.252
102,11.966,3.287
103,11.973,3.27
104,11.868,3.27
105,11.755,3.27
106,11.702,3.208
107,11.612,3.225
108,11.597,3.234
109,11.755,3.208
110,11.868,3.217
111,11.8,3.199
112,11.808,3.217
113,11.853,3.243
114,11.823,3.243
115,11.838,3.217
116,11.898,3.261
117,11.748,3.278
118,11.793,3.305
119,11.83,3.323
120,11.928,3.367
121,11.785,3.376
122,11.8,3.358
123,11.875,3.367
124,11.838,3.393
125,11.778,3.376
126,11.718,3.393
127,11.823,3.446
128,11.83,3.483
129,11.868,3.548
130,11.898,3.595
131,12.078,3.548
132,12.296,3.539
133,12.732,3.53
134,12.552,3.548
135,12.507,3.604
136,12.356,3.641
137,12.341,3.604
138,12.334,3.548
139,12.326,3.567
140,12.319,3.586
141,12.281,3.567
142,12.281,3.548
143,12.199,3.548
144,12.326,3.567
145,12.386,3.567
146,12.334,3.586
147,12.386,3.595
148,12.394,3.632
149,12.334,3.771
150,12.386,3.901
151,12.477,3.827
152,12.447,3.762
153,12.326,3.753
154,12.364,3.762
155,12.326,3.743
156,12.371,3.734
157,12.371,3.734
158,12.364,3.706
159,12.424,3.678
160,12.386,3.623
161,12.386,3.641
162,12.386,3.651
163,12.386,3.651
164,12.401,3.651
165,12.394,3.651
166,12.439,3.623
167,12.454,3.623
168,12.409,3.613
169,12.349,3.576
170,12.371,3.493
171,12.229,3.511
172,12.281,3.465
173,12.229,3.502
174,12.244,3.493
175,12.251,3.502
176,12.379,3.511
177,12.341,3.52
178,12.266,3.465
179,12.168,3.502
180,12.244,3.474
181,12.229,3.511
182,12.251,3.52
183,12.176,3.548
184,12.289,3.53
185,12.326,3.502
186,12.341,3.511
187,12.379,3.502
188,12.371,3.474
189,12.454,3.511
190,12.469,3.53
191,12.477,3.53
192,12.469,3.548
193,12.477,3.604
194,12.477,3.595
195,12.477,3.548
196,12.507,3.53
197,12.537,3.548
198,12.725,3.539
199,12.695,3.595
200,12.845,3.548
201,12.935,3.567
202,12.973,3.576
203,12.898,3.595
204,12.89,3.604
205,12.852,3.586
